"filename", "language", "JSON with Comments", "C++", "Markdown", "comment", "blank", "total"
"c:\code\urland\CHANGELOG.md", "Markdown", 0, 0, 5, 0, 4, 9
"c:\code\urland\README.md", "Markdown", 0, 0, 11, 0, 5, 16
"c:\code\urland\assets\blocks.jsonc", "JSON with Comments", 121, 0, 0, 9, 0, 130
"c:\code\urland\assets\settings.jsonc", "JSON with Comments", 1, 0, 0, 0, 0, 1
"c:\code\urland\include\components\Camera.h", "C++", 0, 6, 0, 0, 2, 8
"c:\code\urland\include\components\CharacterController.h", "C++", 0, 4, 0, 0, 2, 6
"c:\code\urland\include\components\RigidBody.h", "C++", 0, 5, 0, 0, 3, 8
"c:\code\urland\include\components\SpriteComponent.h", "C++", 0, 8, 0, 3, 2, 13
"c:\code\urland\include\core\Block.h", "C++", 0, 10, 0, 0, 4, 14
"c:\code\urland\include\core\BlockRegistry.h", "C++", 0, 42, 0, 9, 10, 61
"c:\code\urland\include\core\Constants.h", "C++", 0, 10, 0, 2, 4, 16
"c:\code\urland\include\core\Texture2DAtlas.h", "C++", 0, 17, 0, 0, 4, 21
"c:\code\urland\include\game\Game.h", "C++", 0, 29, 0, 0, 9, 38
"c:\code\urland\include\systems\CameraSystem.h", "C++", 0, 8, 0, 0, 4, 12
"c:\code\urland\include\systems\CharacterControlSystem.h", "C++", 0, 7, 0, 0, 3, 10
"c:\code\urland\include\systems\SpriteRenderSystem.h", "C++", 0, 9, 0, 0, 4, 13
"c:\code\urland\include\world\Chunk.h", "C++", 0, 21, 0, 0, 7, 28
"c:\code\urland\include\world\DrawChunkGrid.h", "C++", 0, 27, 0, 4, 8, 39
"c:\code\urland\include\world\World.h", "C++", 0, 18, 0, 0, 6, 24
"c:\code\urland\source\Main.cpp", "C++", 0, 7, 0, 0, 1, 8
"c:\code\urland\source\core\BlockRegisrty.cpp", "C++", 0, 52, 0, 0, 16, 68
"c:\code\urland\source\core\Texture2DAtlas.cpp", "C++", 0, 18, 0, 0, 7, 25
"c:\code\urland\source\game\Game.cpp", "C++", 0, 62, 0, 7, 18, 87
"c:\code\urland\source\systems\CameraSystem.cpp", "C++", 0, 16, 0, 0, 6, 22
"c:\code\urland\source\systems\CharacterControlSystem.cpp", "C++", 0, 22, 0, 1, 8, 31
"c:\code\urland\source\systems\SpriteRenderSystem.cpp", "C++", 0, 14, 0, 0, 5, 19
"c:\code\urland\source\world\Chunk.cpp", "C++", 0, 23, 0, 1, 9, 33
"c:\code\urland\source\world\World.cpp", "C++", 0, 29, 0, 0, 8, 37
"Total", "-", 122, 464, 16, 36, 159, 797
